"filename", "language", "TypeScript", "SCSS", "HTML", "Markdown", "JSON", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/althaf/Desktop/Web Development/lwc-dashboard/README.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 24, 61
"/Users/althaf/Desktop/Web Development/lwc-dashboard/angular.json", "JSON", 0, 0, 0, 0, 103, 0, 0, 0, 1, 104
"/Users/althaf/Desktop/Web Development/lwc-dashboard/package-lock.json", "JSON", 0, 0, 0, 0, 9779, 0, 0, 0, 1, 9780
"/Users/althaf/Desktop/Web Development/lwc-dashboard/package.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"/Users/althaf/Desktop/Web Development/lwc-dashboard/public/discord-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/public/facebook-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/public/google-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.config.server.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.routes.server.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.routes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/core/readme.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/admin.routes.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/auth.routes.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/client.route.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/login/login.html", "HTML", 0, 0, 71, 0, 0, 0, 0, 10, 17, 98
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/login/login.scss", "SCSS", 0, 106, 0, 0, 0, 0, 0, 0, 16, 122
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/login/login.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/login/login.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 1, 3, 28
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/register/register.html", "HTML", 0, 0, 86, 0, 0, 0, 0, 11, 18, 115
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/register/register.scss", "SCSS", 0, 106, 0, 0, 0, 0, 0, 0, 16, 122
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/register/register.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/register/register.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/reset-password/reset-password.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/reset-password/reset-password.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/reset-password/reset-password.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/reset-password/reset-password.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/two-factor/two-factor.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/two-factor/two-factor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/two-factor/two-factor.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/two-factor/two-factor.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/verify-email/verify-email.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/verify-email/verify-email.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/verify-email/verify-email.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/verify-email/verify-email.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/admin.routes.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/finance/finance.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/finance/finance.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/finance/finance.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/finance/finance.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/main/main.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/main/main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/main/main.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/main/main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/management/management.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/management/management.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/management/management.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/management/management.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/setting/setting.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/setting/setting.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/setting/setting.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/pages/setting/setting.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/shared/sidebar/sidebar.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/shared/sidebar/sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/shared/sidebar/sidebar.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/admin/shared/sidebar/sidebar.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/client.routes.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/main/main.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 8, 17, 104
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/main/main.scss", "SCSS", 0, 185, 0, 0, 0, 0, 0, 0, 32, 217
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/main/main.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/main/main.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 3, 22
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/management/management.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/management/management.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/management/management.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/management/management.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/notification/notification.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/notification/notification.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/notification/notification.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/notification/notification.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/setting/setting.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/setting/setting.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/setting/setting.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/client/pages/setting/setting.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/dashboard/dashboard.routes.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/badge/badge.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/badge/badge.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/badge/badge.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/badge/badge.component.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/button/button.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/button/button.component.scss", "SCSS", 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/button/button.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/button/button.component.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 1, 7, 27
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/card/card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/card/card.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/card/card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/card/card.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/forms/forms.component.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 3, 4, 22
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/forms/forms.component.scss", "SCSS", 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/forms/forms.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/forms/forms.component.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/modal/modal.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/modal/modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/modal/modal.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/components/ui/modal/modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/shared/readme.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/env/env.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/env/env.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/index.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/main.server.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/main.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/server.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 24, 9, 69
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/styles.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 6, 2, 23
"/Users/althaf/Desktop/Web Development/lwc-dashboard/tsconfig.app.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 2, 1, 18
"/Users/althaf/Desktop/Web Development/lwc-dashboard/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 32, 0, 2, 1, 35
"/Users/althaf/Desktop/Web Development/lwc-dashboard/tsconfig.spec.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 2, 1, 15
"Total", "-", 824, 503, 290, 39, 9964, 32, 3, 73, 425, 12153